date,symbol,sentiment_signal
10/15/2012,AAPL,6
10/16/2012,AAPL,2
10/17/2012,AAPL,6
10/18/2012,AAPL,6
10/19/2012,AAPL,6
10/20/2012,AAPL,6
10/21/2012,AAPL,1
10/22/2012,MSFT,6
10/22/2012,GOOG,6
10/22/2012,AAPL,-1
10/23/2012,AAPL,-3
10/23/2012,GOOG,-3
10/23/2012,MSFT,6
10/24/2012,GOOG,-1
10/24/2012,MSFT,-3
10/24/2012,AAPL,-1
10/25/2012,MSFT,6
10/25/2012,GOOG,1
10/25/2012,AAPL,-3
10/26/2012,AAPL,-1
10/26/2012,MSFT,6
10/26/2012,GOOG,4
10/27/2012,AAPL,-3
10/27/2012,MSFT,6
10/27/2012,GOOG,1
10/28/2012,GOOG,-3
10/28/2012,MSFT,2
10/28/2012,AAPL,-1
10/29/2012,GOOG,-1
10/29/2012,MSFT,6
10/29/2012,AAPL,4
10/30/2012,AAPL,-1
10/30/2012,GOOG,-3
10/30/2012,MSFT,6
10/31/2012,GOOG,-1
10/31/2012,AAPL,2
10/31/2012,MSFT,4
11/1/2012,MSFT,6
11/1/2012,GOOG,-1
11/1/2012,AAPL,-3
11/2/2012,GOOG,-1
11/2/2012,MSFT,2
11/2/2012,AAPL,6
11/3/2012,GOOG,-1
11/3/2012,MSFT,1
11/3/2012,AAPL,1
11/4/2012,AAPL,-1
11/4/2012,GOOG,2
11/4/2012,MSFT,-1
11/5/2012,GOOG,-3
11/5/2012,AAPL,6
11/5/2012,MSFT,-1
11/6/2012,GOOG,-1
11/6/2012,AAPL,5
11/6/2012,MSFT,-1
11/7/2012,MSFT,-1
11/7/2012,AAPL,4
11/7/2012,GOOG,-1
11/8/2012,MSFT,6
11/8/2012,GOOG,-1
11/8/2012,AAPL,2
11/9/2012,AAPL,3
11/9/2012,MSFT,6
11/9/2012,GOOG,2
11/10/2012,AAPL,6
11/10/2012,MSFT,2
11/10/2012,GOOG,1
11/11/2012,GOOG,1
11/11/2012,MSFT,2
11/11/2012,AAPL,1
11/12/2012,GOOG,-3
